method	K	silhouette
TriMAP	43	0.3282590207798888
TriMAP	44	0.3284584441254893
TriMAP	45	0.3278592666302728
TriMAP	46	0.3375284759463911
TriMAP	47	0.3364147885357721
TriMAP	48	0.3267089380848894
TriMAP	49	0.3349970126249416
TriMAP	50	0.3391506467746527
PHATE	2	0.4566841942283826
PHATE	3	0.3688869299354616
PHATE	4	0.4101919647955784
PHATE	5	0.4027415459060761
PHATE	6	0.3953587826881793
PHATE	7	0.3941883056265431
PHATE	8	0.4037596641758759
PHATE	9	0.4169259746181719
PHATE	10	0.4069422998536601
PHATE	11	0.421987137586353
PHATE	12	0.4291746658867789
PHATE	13	0.4380674032701099
PHATE	14	0.4528620357591276
PHATE	15	0.4628512307103268
PHATE	16	0.4714050338341257
PHATE	17	0.4828176003184412
PHATE	18	0.4705473710615412
PHATE	19	0.5006241977099185
PHATE	20	0.5034677989278133
PHATE	21	0.5148936151273347
PHATE	22	0.5142655048277991
PHATE	23	0.520165823306442
PHATE	24	0.5280050898873199
PHATE	25	0.5264945494359623
PHATE	26	0.5085405472323682
PHATE	27	0.528984373717764
PHATE	28	0.5447038601575632
PHATE	29	0.5431076487556933
PHATE	30	0.5406502794043276
PHATE	31	0.5449166325507816
PHATE	32	0.547557384049696
PHATE	33	0.5655082692697357
PHATE	34	0.5499057176028394
PHATE	35	0.5583643930965211
PHATE	36	0.5602789745389373
PHATE	37	0.5573478974718195
PHATE	38	0.5596409963593205
PHATE	39	0.5559691868988342
PHATE	40	0.5678642964023495
PHATE	41	0.5606688324823982
PHATE	42	0.5738579643715362
PHATE	43	0.5735089322241594
PHATE	44	0.5665555253345284
PHATE	45	0.5754593642961296
PHATE	46	0.5763692196443869
PHATE	47	0.5874856035746268
PHATE	48	0.5648715672873684
PHATE	49	0.5836672965268499
PHATE	50	0.6019778745039795
PhyloAE	2	0.53439646503816
PhyloAE	3	0.4529002754147294
PhyloAE	4	0.4768394662192915
PhyloAE	5	0.4505564126946647
