method	best_k	ari	nmi	neighbor_mean_l1_q	random_mean_l1_q	neighbor_enrichment_ratio
UMAP	8	0.0746922498112013	0.3379083765269	0.1901513648965345	0.8500186171029668	4.470220960893341
PaCMAP	8	0.034756707653608804	0.24764623206990524	0.21025317466965845	0.8500186171029668	4.042833685809894
t-SNE	8	0.07381903733534372	0.33010461607866226	0.14237166098229867	0.8500186171029668	5.9704200347051595
TriMAP	8	0.07995536935383189	0.317327987089845	0.35501953113936674	0.8500186171029668	2.3942869125397013
PHATE	8	0.07107822377550607	0.3375087875687242	0.20017689090002494	0.8500186171029668	4.246337393298283
PhyloAE	8	0.19878711542300706	0.4086835682287609	0.20291817097980552	0.8500186171029668	4.1889723970928205
