run_id,n_neighbors,min_dist,metric,n_components,seed,trustworthiness,silhouette_breed,seed_stability_vs_base,embedding_csv
umap_correlation_nn5_md0p0_seed7_3d,5,0.0,correlation,3,7,0.8694796311664992,0.8181486312054612,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_correlation_nn5_md0p0_seed7_3d.csv
umap_correlation_nn5_md0p0_seed42_3d,5,0.0,correlation,3,42,0.8686631550147292,0.8013462481499948,0.5965095986038395,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_correlation_nn5_md0p0_seed42_3d.csv
umap_correlation_nn5_md0p0_seed99_3d,5,0.0,correlation,3,99,0.8628782643772245,0.8038942398531749,0.5838444278234854,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_correlation_nn5_md0p0_seed99_3d.csv
umap_correlation_nn5_md0p0_seed123_3d,5,0.0,correlation,3,123,0.8512686383374184,0.8177046027718315,0.5760658189977562,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_correlation_nn5_md0p0_seed123_3d.csv
umap_correlation_nn5_md0p0_seed256_3d,5,0.0,correlation,3,256,0.8565457928292326,0.8090386592672606,0.5777112939416605,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_correlation_nn5_md0p0_seed256_3d.csv
umap_manhattan_nn5_md0p0_seed7_2d,5,0.0,manhattan,2,7,0.8119518735957092,0.825110865313249,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_manhattan_nn5_md0p0_seed7_2d.csv
umap_manhattan_nn5_md0p0_seed42_2d,5,0.0,manhattan,2,42,0.8111561926164236,0.8301682764448318,0.5573672400897532,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_manhattan_nn5_md0p0_seed42_2d.csv
umap_manhattan_nn5_md0p0_seed99_2d,5,0.0,manhattan,2,99,0.8160879119711508,0.8303629948931986,0.5618548990276739,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_manhattan_nn5_md0p0_seed99_2d.csv
umap_manhattan_nn5_md0p0_seed123_2d,5,0.0,manhattan,2,123,0.8178349341441933,0.8285193663982375,0.5576664173522813,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_manhattan_nn5_md0p0_seed123_2d.csv
umap_manhattan_nn5_md0p0_seed256_2d,5,0.0,manhattan,2,256,0.8109628506386737,0.8310607362677656,0.5721266517078036,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_manhattan_nn5_md0p0_seed256_2d.csv
umap_manhattan_nn5_md0p0_seed7_3d,5,0.0,manhattan,3,7,0.8132070216341893,0.8377889763176896,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_manhattan_nn5_md0p0_seed7_3d.csv
umap_manhattan_nn5_md0p0_seed42_3d,5,0.0,manhattan,3,42,0.8368644902317713,0.8279258290470427,0.5661431064572426,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_manhattan_nn5_md0p0_seed42_3d.csv
umap_manhattan_nn5_md0p0_seed99_3d,5,0.0,manhattan,3,99,0.8180373455493588,0.8438236418053078,0.568686113188731,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_manhattan_nn5_md0p0_seed99_3d.csv
umap_manhattan_nn5_md0p0_seed123_3d,5,0.0,manhattan,3,123,0.8277187885521817,0.8401153641168723,0.5700324108701073,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_manhattan_nn5_md0p0_seed123_3d.csv
umap_manhattan_nn5_md0p0_seed256_3d,5,0.0,manhattan,3,256,0.8139791372811527,0.8341131072474103,0.5625529793069061,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_manhattan_nn5_md0p0_seed256_3d.csv
umap_euclidean_nn5_md0p1_seed7_2d,5,0.1,euclidean,2,7,0.8238439800442239,0.8170383999942776,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_euclidean_nn5_md0p1_seed7_2d.csv
umap_euclidean_nn5_md0p1_seed42_2d,5,0.1,euclidean,2,42,0.8205591396870175,0.8263130753366188,0.5465968586387435,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_euclidean_nn5_md0p1_seed42_2d.csv
umap_euclidean_nn5_md0p1_seed99_2d,5,0.1,euclidean,2,99,0.8135529500874119,0.8302431154106531,0.5501371229119921,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_euclidean_nn5_md0p1_seed99_2d.csv
umap_euclidean_nn5_md0p1_seed123_2d,5,0.1,euclidean,2,123,0.8078216411717093,0.8327732678486265,0.5585639491398653,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_euclidean_nn5_md0p1_seed123_2d.csv
umap_euclidean_nn5_md0p1_seed256_2d,5,0.1,euclidean,2,256,0.8195966419591177,0.8247454453506221,0.5445524806781351,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_euclidean_nn5_md0p1_seed256_2d.csv
umap_euclidean_nn5_md0p1_seed7_3d,5,0.1,euclidean,3,7,0.8208655269546039,0.8430492967650473,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_euclidean_nn5_md0p1_seed7_3d.csv
umap_euclidean_nn5_md0p1_seed42_3d,5,0.1,euclidean,3,42,0.8157899110778692,0.8226268264096634,0.5476938419346796,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_euclidean_nn5_md0p1_seed42_3d.csv
umap_euclidean_nn5_md0p1_seed99_3d,5,0.1,euclidean,3,99,0.8196625945317044,0.8355110487708802,0.5538269758165046,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_euclidean_nn5_md0p1_seed99_3d.csv
umap_euclidean_nn5_md0p1_seed123_3d,5,0.1,euclidean,3,123,0.8157327623009327,0.8283670057773059,0.5609573672400897,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_euclidean_nn5_md0p1_seed123_3d.csv
umap_euclidean_nn5_md0p1_seed256_3d,5,0.1,euclidean,3,256,0.8037703393294012,0.8355735981507203,0.5467963101470956,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_euclidean_nn5_md0p1_seed256_3d.csv
umap_cosine_nn5_md0p1_seed7_2d,5,0.1,cosine,2,7,0.8414629176158259,0.7958825428015999,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_cosine_nn5_md0p1_seed7_2d.csv
umap_cosine_nn5_md0p1_seed42_2d,5,0.1,cosine,2,42,0.8467243998334868,0.7863072111015182,0.5648965345300424,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_cosine_nn5_md0p1_seed42_2d.csv
umap_cosine_nn5_md0p1_seed99_2d,5,0.1,cosine,2,99,0.8417734032020772,0.8060386899099594,0.5589628521565696,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_cosine_nn5_md0p1_seed99_2d.csv
umap_cosine_nn5_md0p1_seed123_2d,5,0.1,cosine,2,123,0.8412104156492022,0.8062904351569238,0.5601096983295937,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_cosine_nn5_md0p1_seed123_2d.csv
umap_cosine_nn5_md0p1_seed256_2d,5,0.1,cosine,2,256,0.849964272527566,0.7889680252694318,0.5719272001994515,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_cosine_nn5_md0p1_seed256_2d.csv
umap_cosine_nn5_md0p1_seed7_3d,5,0.1,cosine,3,7,0.848309690208851,0.7928415205816594,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_cosine_nn5_md0p1_seed7_3d.csv
umap_cosine_nn5_md0p1_seed42_3d,5,0.1,cosine,3,42,0.8491476066388208,0.8088660679588786,0.5632510595861382,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_cosine_nn5_md0p1_seed42_3d.csv
umap_cosine_nn5_md0p1_seed99_3d,5,0.1,cosine,3,99,0.853853083624295,0.7952537603768045,0.5667913238593867,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_cosine_nn5_md0p1_seed99_3d.csv
umap_cosine_nn5_md0p1_seed123_3d,5,0.1,cosine,3,123,0.8575858170852075,0.8031794837401607,0.5699825479930193,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_cosine_nn5_md0p1_seed123_3d.csv
umap_cosine_nn5_md0p1_seed256_3d,5,0.1,cosine,3,256,0.8553492735160956,0.7896557328080457,0.5794066317626527,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_cosine_nn5_md0p1_seed256_3d.csv
umap_correlation_nn5_md0p1_seed7_2d,5,0.1,correlation,2,7,0.8546448180744961,0.7946068301905943,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_correlation_nn5_md0p1_seed7_2d.csv
umap_correlation_nn5_md0p1_seed42_2d,5,0.1,correlation,2,42,0.8457662281086221,0.806955750447386,0.5552231363749689,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_correlation_nn5_md0p1_seed42_2d.csv
umap_correlation_nn5_md0p1_seed99_2d,5,0.1,correlation,2,99,0.843749551746396,0.778445100765508,0.5684367988032909,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_correlation_nn5_md0p1_seed99_2d.csv
umap_correlation_nn5_md0p1_seed123_2d,5,0.1,correlation,2,123,0.8464589957525481,0.7877318069590029,0.5670406382448268,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_correlation_nn5_md0p1_seed123_2d.csv
umap_correlation_nn5_md0p1_seed256_2d,5,0.1,correlation,2,256,0.8373409577239457,0.7738600462540811,0.5573672400897532,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_correlation_nn5_md0p1_seed256_2d.csv
umap_correlation_nn5_md0p1_seed7_3d,5,0.1,correlation,3,7,0.8673214110207583,0.8023320579037687,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_correlation_nn5_md0p1_seed7_3d.csv
umap_correlation_nn5_md0p1_seed42_3d,5,0.1,correlation,3,42,0.8558690389860153,0.7939727159054978,0.5860882572924457,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_correlation_nn5_md0p1_seed42_3d.csv
umap_correlation_nn5_md0p1_seed99_3d,5,0.1,correlation,3,99,0.8614306850984754,0.7882056174647721,0.5906257791074545,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_correlation_nn5_md0p1_seed99_3d.csv
umap_correlation_nn5_md0p1_seed123_3d,5,0.1,correlation,3,123,0.8559208371802505,0.8068009743219071,0.5828970331588132,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_correlation_nn5_md0p1_seed123_3d.csv
umap_correlation_nn5_md0p1_seed256_3d,5,0.1,correlation,3,256,0.8507864028411973,0.7881599409259963,0.5757167788581401,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_correlation_nn5_md0p1_seed256_3d.csv
umap_manhattan_nn5_md0p1_seed7_2d,5,0.1,manhattan,2,7,0.8137244343656164,0.8275868222873703,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_manhattan_nn5_md0p1_seed7_2d.csv
umap_manhattan_nn5_md0p1_seed42_2d,5,0.1,manhattan,2,42,0.8211005731195073,0.8158185050386831,0.575068561455996,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_manhattan_nn5_md0p1_seed42_2d.csv
umap_manhattan_nn5_md0p1_seed99_2d,5,0.1,manhattan,2,99,0.8140118099882856,0.8247617900091606,0.5602094240837696,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_manhattan_nn5_md0p1_seed99_2d.csv
umap_manhattan_nn5_md0p1_seed123_2d,5,0.1,manhattan,2,123,0.8186923555352158,0.8183040919363457,0.5576165544751932,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_manhattan_nn5_md0p1_seed123_2d.csv
umap_manhattan_nn5_md0p1_seed256_2d,5,0.1,manhattan,2,256,0.817961906128011,0.8092774365089904,0.5693841934679631,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_manhattan_nn5_md0p1_seed256_2d.csv
umap_manhattan_nn5_md0p1_seed7_3d,5,0.1,manhattan,3,7,0.823691886884887,0.8255379797893035,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_manhattan_nn5_md0p1_seed7_3d.csv
umap_manhattan_nn5_md0p1_seed42_3d,5,0.1,manhattan,3,42,0.8286074027019305,0.8224614205662067,0.5668411867364747,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_manhattan_nn5_md0p1_seed42_3d.csv
umap_manhattan_nn5_md0p1_seed99_3d,5,0.1,manhattan,3,99,0.8248411616911939,0.8296657607217561,0.5709299426576914,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_manhattan_nn5_md0p1_seed99_3d.csv
umap_manhattan_nn5_md0p1_seed123_3d,5,0.1,manhattan,3,123,0.8316867199675777,0.8247675285315323,0.5716778858140115,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_manhattan_nn5_md0p1_seed123_3d.csv
umap_manhattan_nn5_md0p1_seed256_3d,5,0.1,manhattan,3,256,0.8323304595771066,0.8126773795187755,0.5725255547245076,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_manhattan_nn5_md0p1_seed256_3d.csv
umap_euclidean_nn5_md0p25_seed7_2d,5,0.25,euclidean,2,7,0.8103479510493783,0.811121851114343,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_euclidean_nn5_md0p25_seed7_2d.csv
umap_euclidean_nn5_md0p25_seed42_2d,5,0.25,euclidean,2,42,0.8166052488077877,0.8014643789233469,0.5437048117676391,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_euclidean_nn5_md0p25_seed42_2d.csv
umap_euclidean_nn5_md0p25_seed99_2d,5,0.25,euclidean,2,99,0.8216831035808301,0.8126098948299749,0.5361256544502618,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_euclidean_nn5_md0p25_seed99_2d.csv
umap_euclidean_nn5_md0p25_seed123_2d,5,0.25,euclidean,2,123,0.8128314942128325,0.8116030066308563,0.5382198952879582,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_euclidean_nn5_md0p25_seed123_2d.csv
umap_euclidean_nn5_md0p25_seed256_2d,5,0.25,euclidean,2,256,0.8267341674929712,0.8027266115215426,0.5449513836948393,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_euclidean_nn5_md0p25_seed256_2d.csv
umap_euclidean_nn5_md0p25_seed7_3d,5,0.25,euclidean,3,7,0.8189799208948603,0.825418812308379,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_euclidean_nn5_md0p25_seed7_3d.csv
umap_euclidean_nn5_md0p25_seed42_3d,5,0.25,euclidean,3,42,0.8172214765559096,0.8240100909066765,0.5520817751184244,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_euclidean_nn5_md0p25_seed42_3d.csv
umap_euclidean_nn5_md0p25_seed99_3d,5,0.25,euclidean,3,99,0.8068852133042049,0.8090079288049022,0.5568686113188731,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_euclidean_nn5_md0p25_seed99_3d.csv
umap_euclidean_nn5_md0p25_seed123_3d,5,0.25,euclidean,3,123,0.8245915057791986,0.8134708557213968,0.5468960359012716,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_euclidean_nn5_md0p25_seed123_3d.csv
umap_euclidean_nn5_md0p25_seed256_3d,5,0.25,euclidean,3,256,0.8206157192530283,0.8259635368088629,0.5544253303415608,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_euclidean_nn5_md0p25_seed256_3d.csv
umap_cosine_nn5_md0p25_seed7_2d,5,0.25,cosine,2,7,0.8479792063454117,0.7604353116394793,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_cosine_nn5_md0p25_seed7_2d.csv
