run_id,knn,decay,knn_dist,t,gamma,n_components,seed,trustworthiness,silhouette_breed,seed_stability_vs_base,embedding_csv
phate_euclidean_knn5_decay1_seed123_2d_t2_g0,5,1,euclidean,2,0,2,123,0.5807590389746311,-0.39208988775323994,0.18668661181750187,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed123_2d_t2_g0.csv
phate_euclidean_knn5_decay1_seed256_2d_t2_g0,5,1,euclidean,2,0,2,256,0.5788953285618279,-0.40993656458305106,0.18095238095238095,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed256_2d_t2_g0.csv
phate_euclidean_knn5_decay1_seed7_3d_t2_g0,5,1,euclidean,2,0,3,7,0.6019664340111877,-0.27973624587555995,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed7_3d_t2_g0.csv
phate_euclidean_knn5_decay1_seed42_3d_t2_g0,5,1,euclidean,2,0,3,42,0.6096142761135948,-0.2766060842527665,0.2042383445524807,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed42_3d_t2_g0.csv
phate_euclidean_knn5_decay1_seed99_3d_t2_g0,5,1,euclidean,2,0,3,99,0.5990989011572818,-0.2861791506995217,0.19227125405135875,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed99_3d_t2_g0.csv
phate_euclidean_knn5_decay1_seed123_3d_t2_g0,5,1,euclidean,2,0,3,123,0.610372578908762,-0.27293975502791845,0.19915233108950386,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed123_3d_t2_g0.csv
phate_euclidean_knn5_decay1_seed256_3d_t2_g0,5,1,euclidean,2,0,3,256,0.6024632792545006,-0.28366178582401597,0.2003989030167041,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed256_3d_t2_g0.csv
phate_euclidean_knn5_decay1_seed7_2d_t2,5,1,euclidean,2,1,2,7,0.6223082110193923,-0.27763008492807706,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed7_2d_t2.csv
phate_euclidean_knn5_decay1_seed42_2d_t2,5,1,euclidean,2,1,2,42,0.6130078357576028,-0.2836607630564745,0.399301919720768,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed42_2d_t2.csv
phate_euclidean_knn5_decay1_seed99_2d_t2,5,1,euclidean,2,1,2,99,0.6219578806683448,-0.27967732971917714,0.3656444776863625,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed99_2d_t2.csv
phate_euclidean_knn5_decay1_seed123_2d_t2,5,1,euclidean,2,1,2,123,0.6228016409971513,-0.27123621260241404,0.3866367489404139,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed123_2d_t2.csv
phate_euclidean_knn5_decay1_seed256_2d_t2,5,1,euclidean,2,1,2,256,0.6211189396587087,-0.27658187216003005,0.3792570431313887,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed256_2d_t2.csv
phate_euclidean_knn5_decay1_seed7_3d_t2,5,1,euclidean,2,1,3,7,0.6376845713860704,-0.21825227281022563,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed7_3d_t2.csv
phate_euclidean_knn5_decay1_seed42_3d_t2,5,1,euclidean,2,1,3,42,0.6439817898040663,-0.19765524302658913,0.306058339566193,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed42_3d_t2.csv
phate_euclidean_knn5_decay1_seed99_3d_t2,5,1,euclidean,2,1,3,99,0.6432401459153234,-0.2102091172304375,0.28656195462478184,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed99_3d_t2.csv
phate_euclidean_knn5_decay1_seed123_3d_t2,5,1,euclidean,2,1,3,123,0.6466334778749611,-0.21074662691012297,0.29758165046123164,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed123_3d_t2.csv
phate_euclidean_knn5_decay1_seed256_3d_t2,5,1,euclidean,2,1,3,256,0.6435736655703664,-0.217200654901595,0.2921964597357268,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed256_3d_t2.csv
phate_euclidean_knn5_decay1_seed7_2d_t5_g0,5,1,euclidean,5,0,2,7,0.5681395568579102,-0.357952820390845,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed7_2d_t5_g0.csv
phate_euclidean_knn5_decay1_seed42_2d_t5_g0,5,1,euclidean,5,0,2,42,0.5692530852180856,-0.3645629517523712,0.16345051109449013,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed42_2d_t5_g0.csv
phate_euclidean_knn5_decay1_seed99_2d_t5_g0,5,1,euclidean,5,0,2,99,0.5722034192879779,-0.37288376635421716,0.1661431064572426,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed99_2d_t5_g0.csv
phate_euclidean_knn5_decay1_seed123_2d_t5_g0,5,1,euclidean,5,0,2,123,0.5747196351585651,-0.35309950186582906,0.17152829718274742,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed123_2d_t5_g0.csv
phate_euclidean_knn5_decay1_seed256_2d_t5_g0,5,1,euclidean,5,0,2,256,0.5666051918866952,-0.3629560033281711,0.16155572176514585,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed256_2d_t5_g0.csv
phate_euclidean_knn5_decay1_seed7_3d_t5_g0,5,1,euclidean,5,0,3,7,0.5910458188231982,-0.2850196425341942,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed7_3d_t5_g0.csv
phate_euclidean_knn5_decay1_seed42_3d_t5_g0,5,1,euclidean,5,0,3,42,0.5975457142781249,-0.27594717546206365,0.17167788581401147,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed42_3d_t5_g0.csv
phate_euclidean_knn5_decay1_seed99_3d_t5_g0,5,1,euclidean,5,0,3,99,0.5855251938447807,-0.285598570875858,0.15801545749189727,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed99_3d_t5_g0.csv
