sample_idx	IID	FID	dominant_component_broad	q_max_broad	best_embedding_axis1	best_embedding_method	sample_order_rank
848	NSD_0GT289	NSDT	2	0.64519	0.8225562	PhyloAE	830
383	DANE_06694	DANE	2	0.64515	-0.9151662	PhyloAE	831
993	Gry_0GT248	GREY	2	0.645146	-0.7686339	PhyloAE	832
319	BORZ_13142	BORZ	2	0.644904	0.0045734756	PhyloAE	833
1272	AUCD_18G11	AUCD	2	0.644874	-0.76026773	PhyloAE	834
285	AUST_08659	AUST	2	0.644157	-0.21850632	PhyloAE	835
1308	MNTY_34H04	MNTY	2	0.643535	0.20881356	PhyloAE	836
1059	AHRT_01081	AHRT	2	0.64296	-0.25663596	PhyloAE	837
1081	NSDT_26994	NSDT	2	0.642255	0.8269168	PhyloAE	838
340	AUST_08658	AUST	2	0.641873	-0.25098294	PhyloAE	839
304	AUST_07721	AUST	2	0.641333	-0.2303771	PhyloAE	840
1056	BEDT_28915	BEDT	2	0.640666	-0.23504831	PhyloAE	841
505	GREY_14237	GREY	2	0.640311	-0.7690429	PhyloAE	842
853	NSD_0GT295	NSDT	2	0.640307	0.8248499	PhyloAE	843
850	NSD_0GT292	NSDT	2	0.640184	0.832437	PhyloAE	844
1188	SILK_10E09	SILK	2	0.640109	-0.57798034	PhyloAE	845
542	WHIP_09932	WHIP	2	0.639887	-0.8594612	PhyloAE	846
992	Gry_0GT247	GREY	2	0.638984	-0.76684785	PhyloAE	847
1259	BEDT_17A06	BEDT	2	0.638576	-0.23273186	PhyloAE	848
950	Elk_0GT129	NELK	2	0.63838	0.36048302	PhyloAE	849
1054	BEDT_27105	BEDT	2	0.638056	-0.23184569	PhyloAE	850
989	Gry_0GT244	GREY	2	0.637975	-0.7674015	PhyloAE	851
1231	AUCD_15C07	AUCD	2	0.636363	-0.7628599	PhyloAE	852
269	BORZ_00979	BORZ	2	0.636155	0.0017773006	PhyloAE	853
161	DANE_13574	DANE	2	0.635971	-0.900884	PhyloAE	854
1055	BEDT_28909	BEDT	2	0.635863	-0.23210384	PhyloAE	855
1104	AUCD_09994	AUCD	2	0.635683	-0.7610484	PhyloAE	856
1067	AHRT_01123	AHRT	2	0.635257	-0.25104892	PhyloAE	857
1250	TYFX_16D09	TYFX	2	0.634466	-0.124754116	PhyloAE	858
294	AUST_08660	AUST	2	0.634093	-0.25099397	PhyloAE	859
503	GREY_12320	GREY	2	0.633669	-0.771824	PhyloAE	860
543	WHIP_09886	WHIP	2	0.633187	-0.85403705	PhyloAE	861
399	DANE_12992	DANE	2	0.632982	-0.8798695	PhyloAE	862
425	BORZ_27924	BORZ	2	0.632944	-0.00029261224	PhyloAE	863
85	BORZ_27197	BORZ	2	0.632606	0.0015265327	PhyloAE	864
1057	BEDT_28916	BEDT	2	0.632368	-0.23427726	PhyloAE	865
1254	TYFX_17A02	TYFX	2	0.63215	-0.1460941	PhyloAE	866
16	SLOU_24407	SLOU_NAfrica	2	0.631853	-0.32137853	PhyloAE	867
427	BORZ_28388	BORZ	2	0.631689	0.0025239494	PhyloAE	868
1065	AHRT_01117	AHRT	2	0.631513	-0.25590962	PhyloAE	869
851	NSD_0GT293	NSDT	2	0.631116	0.81737393	PhyloAE	870
1064	AHRT_01080	AHRT	2	0.631055	-0.25535166	PhyloAE	871
296	BORZ_12818	BORZ	2	0.630886	-0.002734052	PhyloAE	872
13	SLOU_24401	SLOU_NAfrica	2	0.628998	-0.3288212	PhyloAE	873
237	WHIP_09822	WHIP	2	0.628699	-0.8098998	PhyloAE	874
1234	AUCD_15C09	AUCD	2	0.62799	-0.7633284	PhyloAE	875
1066	AHRT_01121	AHRT	2	0.627716	-0.25674915	PhyloAE	876
1252	SILK_17C01	SILK	2	0.627429	-0.59956795	PhyloAE	877
124	DANE_26647	DANE	2	0.626643	-0.9200267	PhyloAE	878
507	GREY_14238	GREY	2	0.625004	-0.7663986	PhyloAE	879
1060	AHRT_01120	AHRT	2	0.624425	-0.25532022	PhyloAE	880
1031	IRIT_27175	IRIT	2	0.624052	-0.4634505	PhyloAE	881
1058	AHRT_01079	AHRT	2	0.623887	-0.25535935	PhyloAE	882
1103	KELP_09350	KELP	2	0.623704	-0.67537206	PhyloAE	883
990	Gry_0GT245	GREY	2	0.623639	-0.766578	PhyloAE	884
958	Elk_0GT137	NELK	2	0.623624	0.3780848	PhyloAE	885
18	SLOU_24409	SLOU_NAfrica	2	0.623172	-0.32459515	PhyloAE	886
955	Elk_0GT134	NELK	2	0.621923	0.3777348	PhyloAE	887
710	OES_005944	OES	2	0.621831	-0.9877429	PhyloAE	888
263	BORZ_00978	BORZ	2	0.620919	0.007721832	PhyloAE	889
991	Gry_0GT246	GREY	2	0.620644	-0.7701548	PhyloAE	890
401	DANE_15290	DANE	2	0.620245	-0.8891122	PhyloAE	891
1260	TYFX_17D06	TYFX	2	0.619734	-0.15573712	PhyloAE	892
1112	AIRT_25288	AIRT	2	0.619031	-0.9096545	PhyloAE	893
1249	TYFX_16G08	TYFX	2	0.618864	-0.1371276	PhyloAE	894
