K	method	ari	nmi
22	t-SNE	0.19458868880368407	0.6000824525157451
22	TriMAP	0.15363601510255878	0.4914966591809875
22	PHATE	0.24158616669889785	0.6109662348515458
22	PhyloAE	0.2199249488611642	0.582904198916668
23	UMAP	0.04801279680033318	0.45676651608572977
23	PaCMAP	0.04026025502420458	0.4052218127880553
23	t-SNE	0.11622446201592099	0.5803797722953693
23	TriMAP	0.0749622555791649	0.4636346365482243
23	PHATE	0.114894304308459	0.5753403164698488
23	PhyloAE	0.18640609592439564	0.6335770684233458
24	UMAP	0.1118371498108084	0.5271918496856026
24	PaCMAP	0.09883233318807734	0.47700567187834825
24	t-SNE	0.2168705404030025	0.6624818979424731
24	TriMAP	0.11804646348417043	0.5075695180615277
24	PHATE	0.1909258092168181	0.6168797994566384
24	PhyloAE	0.22264071075088396	0.6400405555103326
25	UMAP	0.07477711042530298	0.4930572669109727
25	PaCMAP	0.07582354400044744	0.4537367380559857
25	t-SNE	0.15120912491689756	0.632923155998213
25	TriMAP	0.11250125654508512	0.5039546296472973
25	PHATE	0.14485137092777386	0.6098986742084603
25	PhyloAE	0.2136079787949272	0.6494450142897361
26	UMAP	0.07569254969691087	0.5121950582121432
26	PaCMAP	0.05993960693888467	0.46589181613040775
26	t-SNE	0.15545745571370856	0.6697505412064495
26	TriMAP	0.10255349925435106	0.5117077476740904
26	PHATE	0.13348792595341738	0.6177497128052116
26	PhyloAE	0.209991554667429	0.6765581123152564
27	UMAP	0.1261964301581412	0.5343594749407801
27	PaCMAP	0.11337087584332785	0.5042649726789604
27	t-SNE	0.2155651970419187	0.6654814081116297
27	TriMAP	0.13451484255636523	0.5279867637140757
27	PHATE	0.18789390479148835	0.6093598264876399
27	PhyloAE	0.2045963728588069	0.6332978159636344
28	UMAP	0.08890745470864221	0.5478416512677444
28	PaCMAP	0.08678810992743022	0.5191109891374321
28	t-SNE	0.15812105048306566	0.6596592381137757
28	TriMAP	0.11106772196349962	0.5333655393039723
28	PHATE	0.1687113057934245	0.64319604849825
28	PhyloAE	0.23845863080071722	0.6710949683053008
29	UMAP	0.09391255464264753	0.5515098119678999
29	PaCMAP	0.07922493042666044	0.4965085996482514
29	t-SNE	0.18783013834544893	0.6891217944325745
29	TriMAP	0.12912783474314934	0.5367578123501724
29	PHATE	0.1771593325557419	0.6577469635365232
29	PhyloAE	0.20408720623363075	0.6708790646644924
30	UMAP	0.06548911460356895	0.5252007174421706
30	PaCMAP	0.061575946746556885	0.4861128292221574
30	t-SNE	0.13113765661865553	0.6584560296441432
30	TriMAP	0.0899383560169609	0.5250611041671234
30	PHATE	0.10490639778217986	0.6037663600165232
30	PhyloAE	0.15978690437207174	0.6539777404789052
