run_id,n_neighbors,MN_ratio,FP_ratio,distance,n_components,seed,trustworthiness,silhouette_breed,seed_stability_vs_base,embedding_csv
pacmap_manhattan_nn30_mn2p0_fp2p0_seed42_3d,30,2.0,2.0,manhattan,3,42,0.8928597422537033,0.4490550976711735,0.6142607828471702,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_manhattan_nn30_mn2p0_fp2p0_seed42_3d.csv
pacmap_manhattan_nn30_mn2p0_fp2p0_seed99_3d,30,2.0,2.0,manhattan,3,99,0.8917595713765835,0.42191403386294196,0.612365993517826,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_manhattan_nn30_mn2p0_fp2p0_seed99_3d.csv
pacmap_manhattan_nn30_mn2p0_fp2p0_seed123_3d,30,2.0,2.0,manhattan,3,123,0.8847662079965027,0.44230077648079447,0.6347045624532536,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_manhattan_nn30_mn2p0_fp2p0_seed123_3d.csv
pacmap_manhattan_nn30_mn2p0_fp2p0_seed256_3d,30,2.0,2.0,manhattan,3,256,0.8849661907683855,0.42681011384701567,0.6068312141610571,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_manhattan_nn30_mn2p0_fp2p0_seed256_3d.csv
pacmap_euclidean_nn30_mn2p0_fp4p0_seed7_2d,30,2.0,4.0,euclidean,2,7,0.8882318297436995,0.47038470384326575,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn30_mn2p0_fp4p0_seed7_2d.csv
pacmap_euclidean_nn30_mn2p0_fp4p0_seed42_2d,30,2.0,4.0,euclidean,2,42,0.8920681595930825,0.4645142964641494,0.5635502368486662,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn30_mn2p0_fp4p0_seed42_2d.csv
pacmap_euclidean_nn30_mn2p0_fp4p0_seed99_2d,30,2.0,4.0,euclidean,2,99,0.8954922289427059,0.45992982123153164,0.5617551732734979,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn30_mn2p0_fp4p0_seed99_2d.csv
pacmap_euclidean_nn30_mn2p0_fp4p0_seed123_2d,30,2.0,4.0,euclidean,2,123,0.8784793492173539,0.4561924749108439,0.5552231363749689,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn30_mn2p0_fp4p0_seed123_2d.csv
pacmap_euclidean_nn30_mn2p0_fp4p0_seed256_2d,30,2.0,4.0,euclidean,2,256,0.8870977338954101,0.4566864343327063,0.5649962602842183,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn30_mn2p0_fp4p0_seed256_2d.csv
pacmap_euclidean_nn30_mn2p0_fp4p0_seed7_3d,30,2.0,4.0,euclidean,3,7,0.9053668241863035,0.5594933778077541,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn30_mn2p0_fp4p0_seed7_3d.csv
pacmap_euclidean_nn30_mn2p0_fp4p0_seed42_3d,30,2.0,4.0,euclidean,3,42,0.9098089462501713,0.5588114583768102,0.6086761406133133,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn30_mn2p0_fp4p0_seed42_3d.csv
pacmap_euclidean_nn30_mn2p0_fp4p0_seed99_3d,30,2.0,4.0,euclidean,3,99,0.9132224282765773,0.5705450779000697,0.6217402144103714,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn30_mn2p0_fp4p0_seed99_3d.csv
pacmap_euclidean_nn30_mn2p0_fp4p0_seed123_3d,30,2.0,4.0,euclidean,3,123,0.90040827602328,0.5552656179236034,0.6144103714784344,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn30_mn2p0_fp4p0_seed123_3d.csv
pacmap_euclidean_nn30_mn2p0_fp4p0_seed256_3d,30,2.0,4.0,euclidean,3,256,0.9007318155134264,0.5514929592088198,0.6199451508352032,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn30_mn2p0_fp4p0_seed256_3d.csv
pacmap_angular_nn30_mn2p0_fp4p0_seed7_2d,30,2.0,4.0,angular,2,7,0.8966994494212454,0.44947857249030726,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_angular_nn30_mn2p0_fp4p0_seed7_2d.csv
pacmap_angular_nn30_mn2p0_fp4p0_seed42_2d,30,2.0,4.0,angular,2,42,0.9026419355903685,0.447490448099235,0.5915731737721266,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_angular_nn30_mn2p0_fp4p0_seed42_2d.csv
pacmap_angular_nn30_mn2p0_fp4p0_seed99_2d,30,2.0,4.0,angular,2,99,0.8987505061233814,0.455668621260142,0.5884816753926702,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_angular_nn30_mn2p0_fp4p0_seed99_2d.csv
pacmap_angular_nn30_mn2p0_fp4p0_seed123_2d,30,2.0,4.0,angular,2,123,0.8910073022172283,0.4436774479319109,0.575118424333084,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_angular_nn30_mn2p0_fp4p0_seed123_2d.csv
