method	best_k	ari	nmi	neighbor_mean_l1_q	random_mean_l1_q	neighbor_enrichment_ratio
UMAP	8	0.030924979782549725	0.2602866706520553	0.24968551184243332	0.8500186171029668	3.40435698823959
PaCMAP	8	0.021273118374436517	0.1735388360481615	0.34663332136624286	0.8500186171029668	2.4522126544345153
t-SNE	8	0.08616944047620305	0.36672016779062794	0.14602814335577163	0.8500186171029668	5.820923265675216
TriMAP	8	0.07343618435432703	0.28052507992369763	0.25415207648965343	0.8500186171029668	3.344527531875472
PHATE	8	0.09519556354721619	0.37167246078733296	0.17806987549239592	0.8500186171029668	4.773511604658054
PhyloAE	8	0.1335936035589292	0.3409881392163864	0.15275262597855896	0.8500186171029668	5.564674333142261
