run_id,hidden_dims,lr,lambda_breed,lambda_clade,n_components,seed,target_metric,trustworthiness,silhouette_breed,seed_stability_vs_base,embedding_csv
phyloae_h512x64_lr0p001_lb1p0_lc0p1_seed789_2d,"(512, 64)",0.001,1.0,0.1,2,789,euclidean,0.8517010489039465,0.733705975389279,0.2807778608825729,results/embeddings/phyloae_h512x64_lr0p001_lb1p0_lc0p1_seed789_2d.csv
phyloae_h512x64_lr0p001_lb1p0_lc0p1_seed1337_2d,"(512, 64)",0.001,1.0,0.1,2,1337,euclidean,0.8665349512584685,0.711330652305322,0.2879082523061581,results/embeddings/phyloae_h512x64_lr0p001_lb1p0_lc0p1_seed1337_2d.csv
phyloae_h512x64_lr0p001_lb1p0_lc0p1_seed42_3d,"(512, 64)",0.001,1.0,0.1,3,42,euclidean,0.8989397877298616,0.7542239969660809,1.0,results/embeddings/phyloae_h512x64_lr0p001_lb1p0_lc0p1_seed42_3d.csv
phyloae_h512x64_lr0p001_lb1p0_lc0p1_seed123_3d,"(512, 64)",0.001,1.0,0.1,3,123,euclidean,0.888698127334002,0.770729715379639,0.5696335078534032,results/embeddings/phyloae_h512x64_lr0p001_lb1p0_lc0p1_seed123_3d.csv
phyloae_h512x64_lr0p001_lb1p0_lc0p1_seed256_3d,"(512, 64)",0.001,1.0,0.1,3,256,euclidean,0.8915140517306479,0.7537786744969672,0.5795063575168287,results/embeddings/phyloae_h512x64_lr0p001_lb1p0_lc0p1_seed256_3d.csv
phyloae_h512x64_lr0p001_lb1p0_lc0p1_seed789_3d,"(512, 64)",0.001,1.0,0.1,3,789,euclidean,0.8951684238207942,0.7628027668575785,0.5548740962353528,results/embeddings/phyloae_h512x64_lr0p001_lb1p0_lc0p1_seed789_3d.csv
phyloae_h512x64_lr0p001_lb1p0_lc0p1_seed1337_3d,"(512, 64)",0.001,1.0,0.1,3,1337,euclidean,0.8834394911709693,0.7577002974037498,0.5692844677137872,results/embeddings/phyloae_h512x64_lr0p001_lb1p0_lc0p1_seed1337_3d.csv
phyloae_h512x64_lr0p001_lb1p0_lc1p0_seed42_2d,"(512, 64)",0.001,1.0,1.0,2,42,euclidean,0.8819226958436598,0.7257148109422766,1.0,results/embeddings/phyloae_h512x64_lr0p001_lb1p0_lc1p0_seed42_2d.csv
phyloae_h512x64_lr0p001_lb1p0_lc1p0_seed123_2d,"(512, 64)",0.001,1.0,1.0,2,123,euclidean,0.8770729049148328,0.7342736778721152,0.5649962602842183,results/embeddings/phyloae_h512x64_lr0p001_lb1p0_lc1p0_seed123_2d.csv
phyloae_h512x64_lr0p001_lb1p0_lc1p0_seed256_2d,"(512, 64)",0.001,1.0,1.0,2,256,euclidean,0.8934622709922143,0.7188913109357034,0.556619296933433,results/embeddings/phyloae_h512x64_lr0p001_lb1p0_lc1p0_seed256_2d.csv
phyloae_h512x64_lr0p001_lb1p0_lc1p0_seed789_2d,"(512, 64)",0.001,1.0,1.0,2,789,euclidean,0.8667289762893291,0.7254232416965186,0.5488406881077038,results/embeddings/phyloae_h512x64_lr0p001_lb1p0_lc1p0_seed789_2d.csv
phyloae_h512x64_lr0p001_lb1p0_lc1p0_seed1337_2d,"(512, 64)",0.001,1.0,1.0,2,1337,euclidean,0.8804463524394672,0.6960155233923279,0.5580154574918973,results/embeddings/phyloae_h512x64_lr0p001_lb1p0_lc1p0_seed1337_2d.csv
phyloae_h512x64_lr0p001_lb1p0_lc1p0_seed42_3d,"(512, 64)",0.001,1.0,1.0,3,42,euclidean,0.90973475909286,0.748198818203855,1.0,results/embeddings/phyloae_h512x64_lr0p001_lb1p0_lc1p0_seed42_3d.csv
phyloae_h512x64_lr0p001_lb1p0_lc1p0_seed123_3d,"(512, 64)",0.001,1.0,1.0,3,123,euclidean,0.8896045008646314,0.7653606453465095,0.5975567190226877,results/embeddings/phyloae_h512x64_lr0p001_lb1p0_lc1p0_seed123_3d.csv
phyloae_h512x64_lr0p001_lb1p0_lc1p0_seed256_3d,"(512, 64)",0.001,1.0,1.0,3,256,euclidean,0.9000472445068299,0.7600695473467997,0.5970082273747196,results/embeddings/phyloae_h512x64_lr0p001_lb1p0_lc1p0_seed256_3d.csv
phyloae_h512x64_lr0p001_lb1p0_lc1p0_seed789_3d,"(512, 64)",0.001,1.0,1.0,3,789,euclidean,0.9003166330642484,0.7689010507566261,0.5948641236599352,results/embeddings/phyloae_h512x64_lr0p001_lb1p0_lc1p0_seed789_3d.csv
phyloae_h512x64_lr0p001_lb1p0_lc1p0_seed1337_3d,"(512, 64)",0.001,1.0,1.0,3,1337,euclidean,0.8926579000594635,0.7523289059505555,0.6129643480428821,results/embeddings/phyloae_h512x64_lr0p001_lb1p0_lc1p0_seed1337_3d.csv
phyloae_h512x64_lr0p001_lb10p0_lc0p1_seed42_2d,"(512, 64)",0.001,10.0,0.1,2,42,euclidean,0.8618564169234757,0.7112668191094804,1.0,results/embeddings/phyloae_h512x64_lr0p001_lb10p0_lc0p1_seed42_2d.csv
phyloae_h512x64_lr0p001_lb10p0_lc0p1_seed123_2d,"(512, 64)",0.001,10.0,0.1,2,123,euclidean,0.8547989224457704,0.7017091940783718,0.5368735976065818,results/embeddings/phyloae_h512x64_lr0p001_lb10p0_lc0p1_seed123_2d.csv
phyloae_h512x64_lr0p001_lb10p0_lc0p1_seed256_2d,"(512, 64)",0.001,10.0,0.1,2,256,euclidean,0.8699480538109241,0.6421836196699866,0.5428072799800548,results/embeddings/phyloae_h512x64_lr0p001_lb10p0_lc0p1_seed256_2d.csv
phyloae_h512x64_lr0p001_lb10p0_lc0p1_seed789_2d,"(512, 64)",0.001,10.0,0.1,2,789,euclidean,0.8589008081656723,0.682893078897781,0.5356270256793817,results/embeddings/phyloae_h512x64_lr0p001_lb10p0_lc0p1_seed789_2d.csv
phyloae_h512x64_lr0p001_lb10p0_lc0p1_seed1337_2d,"(512, 64)",0.001,10.0,0.1,2,1337,euclidean,0.8666846157845225,0.6700784010729742,0.5623535277985541,results/embeddings/phyloae_h512x64_lr0p001_lb10p0_lc0p1_seed1337_2d.csv
phyloae_h512x64_lr0p001_lb10p0_lc0p1_seed42_3d,"(512, 64)",0.001,10.0,0.1,3,42,euclidean,0.9024909429054878,0.7214956282175571,1.0,results/embeddings/phyloae_h512x64_lr0p001_lb10p0_lc0p1_seed42_3d.csv
phyloae_h512x64_lr0p001_lb10p0_lc0p1_seed123_3d,"(512, 64)",0.001,10.0,0.1,3,123,euclidean,0.8914808098125893,0.7289756319222235,0.605584642233857,results/embeddings/phyloae_h512x64_lr0p001_lb10p0_lc0p1_seed123_3d.csv
phyloae_h512x64_lr0p001_lb10p0_lc0p1_seed256_3d,"(512, 64)",0.001,10.0,0.1,3,256,euclidean,0.8961428370307378,0.7372635072381536,0.6208925454998754,results/embeddings/phyloae_h512x64_lr0p001_lb10p0_lc0p1_seed256_3d.csv
phyloae_h512x64_lr0p001_lb10p0_lc0p1_seed789_3d,"(512, 64)",0.001,10.0,0.1,3,789,euclidean,0.8905728804387629,0.7422607778897223,0.5951633009224633,results/embeddings/phyloae_h512x64_lr0p001_lb10p0_lc0p1_seed789_3d.csv
phyloae_h512x64_lr0p001_lb10p0_lc0p1_seed1337_3d,"(512, 64)",0.001,10.0,0.1,3,1337,euclidean,0.900306842636327,0.7452217111915342,0.6151084517576665,results/embeddings/phyloae_h512x64_lr0p001_lb10p0_lc0p1_seed1337_3d.csv
phyloae_h512x64_lr0p001_lb10p0_lc1p0_seed42_2d,"(512, 64)",0.001,10.0,1.0,2,42,euclidean,0.8747214945809223,0.6958698374260628,1.0,results/embeddings/phyloae_h512x64_lr0p001_lb10p0_lc1p0_seed42_2d.csv
phyloae_h512x64_lr0p001_lb10p0_lc1p0_seed123_2d,"(512, 64)",0.001,10.0,1.0,2,123,euclidean,0.8680658630167344,0.6854254195310998,0.5640488656195464,results/embeddings/phyloae_h512x64_lr0p001_lb10p0_lc1p0_seed123_2d.csv
