method	K	silhouette
PhyloAE	18	0.3458404028117286
PhyloAE	19	0.3491875215523019
PhyloAE	20	0.3535603389628771
PhyloAE	21	0.36437526733658443
PhyloAE	22	0.3513476083937627
PhyloAE	23	0.3627200156039075
PhyloAE	24	0.36930176108567797
PhyloAE	25	0.35614963831678215
PhyloAE	26	0.36549827290111575
PhyloAE	27	0.3782983483110302
PhyloAE	28	0.39405266573047515
PhyloAE	29	0.3839066076349738
PhyloAE	30	0.38311380771968556
PhyloAE	31	0.3813614875305944
PhyloAE	32	0.4043685967487372
PhyloAE	33	0.3945359624696502
PhyloAE	34	0.4025054085785738
PhyloAE	35	0.41133652558504485
PhyloAE	36	0.41283336847201013
PhyloAE	37	0.4223079152542442
PhyloAE	38	0.43254620712145403
PhyloAE	39	0.4206646836911953
PhyloAE	40	0.4222838487762187
PhyloAE	41	0.44542600931835646
PhyloAE	42	0.4358786283242795
PhyloAE	43	0.44297388392081327
PhyloAE	44	0.4475612439522706
PhyloAE	45	0.44746902286482765
PhyloAE	46	0.45551048173737546
PhyloAE	47	0.4691314885290398
PhyloAE	48	0.4594386617663882
PhyloAE	49	0.4609779010416452
PhyloAE	50	0.48128995399296615
