run_id,n_inliers,n_outliers,distance,weight_temp,n_components,seed,trustworthiness,silhouette_breed,seed_stability_vs_base,embedding_csv
trimap_angular_in50_out8_seed99_2d_wt0p25,50,8,angular,0.25,2,99,0.6970564585138206,-0.21134322511117298,0.2394415357766143,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_angular_in50_out8_seed99_2d_wt0p25.csv
trimap_angular_in50_out8_seed123_2d_wt0p25,50,8,angular,0.25,2,123,0.6930234093685288,-0.2080234001845552,0.24268262278733485,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_angular_in50_out8_seed123_2d_wt0p25.csv
trimap_angular_in50_out8_seed256_2d_wt0p25,50,8,angular,0.25,2,256,0.6973233804905612,-0.19117321407596596,0.2461231613064074,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_angular_in50_out8_seed256_2d_wt0p25.csv
trimap_angular_in50_out8_seed7_3d_wt0p25,50,8,angular,0.25,3,7,0.7434155008278225,-0.07381649786521534,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_angular_in50_out8_seed7_3d_wt0p25.csv
trimap_angular_in50_out8_seed42_3d_wt0p25,50,8,angular,0.25,3,42,0.7410219309380179,-0.08719416459239106,0.3268511593118923,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_angular_in50_out8_seed42_3d_wt0p25.csv
trimap_angular_in50_out8_seed99_3d_wt0p25,50,8,angular,0.25,3,99,0.7440582538050802,-0.078524728384193,0.343555223136375,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_angular_in50_out8_seed99_3d_wt0p25.csv
trimap_angular_in50_out8_seed123_3d_wt0p25,50,8,angular,0.25,3,123,0.7428033713983653,-0.07788326179606196,0.33333333333333337,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_angular_in50_out8_seed123_3d_wt0p25.csv
trimap_angular_in50_out8_seed256_3d_wt0p25,50,8,angular,0.25,3,256,0.7418799594873611,-0.0747257101201816,0.32834704562453254,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_angular_in50_out8_seed256_3d_wt0p25.csv
trimap_angular_in50_out8_seed7_2d,50,8,angular,0.5,2,7,0.7012384891320558,-0.19796558201968914,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_angular_in50_out8_seed7_2d.csv
trimap_angular_in50_out8_seed42_2d,50,8,angular,0.5,2,42,0.7033228636470407,-0.20206726793231453,0.2570431313886811,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_angular_in50_out8_seed42_2d.csv
